ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,98,Manx Care,Crown Dependencies,,,,,-4.503341675,54.16223899,583,-1,-1,0,Suppressed due to small numbers,2.45,4,Within 5%,1.59 to 3.55,581,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.41 to 1.21,3,5.15,5,Over 5% higher,3.15,4,Within 5%,2.30 to 4.41,5,"Under 2,000 births",2.44,0.7,3.13
2024,121,Medway NHS Foundation Trust,England,South East,,,"Kent, Surrey and Sussex",0.542217593,51.37826671,4453,9,2.02,2,Over 15% lower,3.04,3,5 to 15% lower,2.19 to 3.89,4444,6,1.35,3,5 to 15% lower,1.46,4,Within 5%,1.04 to 2.01,15,3.37,2,Over 15% lower,4.5,4,Within 5%,3.62 to 5.79,2,Level 3 NICU,3.22,1.46,4.68
2024,219,Mersey and West Lancashire Teaching Hospitals NHS Trust,England,North West,,,North West,-2.786013334,53.42081276,5759,9,1.56,2,Over 15% lower,2.51,3,5 to 15% lower,1.78 to 3.27,5750,3,0.52,2,Over 15% lower,0.71,4,Within 5%,0.48 to 1.00,12,2.08,2,Over 15% lower,3.22,3,5 to 15% lower,2.55 to 4.10,3,"4,000 or more births",2.72,0.73,3.44
2024,214,Mid and South Essex NHS Foundation Trust,England,East of England,,,East of England,0.689093366,51.55383564,11039,25,2.26,2,Over 15% lower,2.82,4,Within 5%,2.21 to 3.82,11014,11,1,5,Over 5% higher,0.77,5,Over 5% higher,0.56 to 1.12,36,3.26,3,5 to 15% lower,3.6,4,Within 5%,3.02 to 4.71,3,"4,000 or more births",2.72,0.73,3.44
2024,123,Mid Cheshire Hospitals NHS Foundation Trust,England,North West,,,North West,-2.475863107,53.11768515,2788,8,2.87,5,Over 5% higher,2.73,4,Within 5%,2.05 to 3.73,2780,3,1.08,5,Over 5% higher,0.84,4,Within 5%,0.58 to 1.21,11,3.95,5,Over 5% higher,3.58,4,Within 5%,2.97 to 4.66,4,"2,000-3,999 births",2.71,0.83,3.54
2024,237,Mid Yorkshire Teaching NHS Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.651035523,53.70142312,5633,13,2.31,2,Over 15% lower,2.6,4,Within 5%,1.94 to 3.42,5620,5,0.89,5,Over 5% higher,0.75,4,Within 5%,0.52 to 1.13,18,3.2,3,5 to 15% lower,3.35,4,Within 5%,2.74 to 4.35,3,"4,000 or more births",2.72,0.73,3.44
2024,126,Milton Keynes University Hospital NHS Foundation Trust,England,East of England,,,Thames Valley and Wessex,-0.735795391,52.02638278,3839,10,2.6,4,Within 5%,2.66,4,Within 5%,1.93 to 3.51,3829,6,1.57,5,Over 5% higher,0.88,5,Over 5% higher,0.62 to 1.32,16,4.17,5,Over 5% higher,3.54,4,Within 5%,2.86 to 4.66,4,"2,000-3,999 births",2.71,0.83,3.54
2024,128,NHS Ayrshire & Arran,Scotland,Scotland,,,Scotland,-4.539408686,55.61393979,2755,4,1.45,2,Over 15% lower,2.6,4,Within 5%,1.91 to 3.21,2751,4,1.45,5,Over 5% higher,0.86,4,Within 5%,0.60 to 1.25,8,2.9,2,Over 15% lower,3.46,4,Within 5%,2.83 to 4.34,4,"2,000-3,999 births",2.71,0.83,3.54
2024,129,NHS Borders,Scotland,Scotland,,,Scotland,-2.741940858,55.59547849,847,-1,-1,0,Suppressed due to small numbers,2.4,4,Within 5%,1.51 to 3.42,846,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.37 to 1.10,-1,-1,0,Suppressed due to small numbers,3.08,4,Within 5%,2.19 to 4.30,5,"Under 2,000 births",2.44,0.7,3.13
2024,131,NHS Dumfries & Galloway,Scotland,Scotland,,,Scotland,-3.599237906,55.05630041,1043,-1,-1,0,Suppressed due to small numbers,2.55,4,Within 5%,1.80 to 4.10,1037,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.36 to 1.08,6,5.75,5,Over 5% higher,3.24,4,Within 5%,2.46 to 5.01,5,"Under 2,000 births",2.44,0.7,3.13
2024,132,NHS Fife,Scotland,Scotland,,,Scotland,-3.161283618,56.12581322,2647,10,3.78,5,Over 5% higher,2.82,4,Within 5%,2.22 to 3.87,2637,6,2.28,5,Over 5% higher,0.89,5,Over 5% higher,0.63 to 1.31,16,6.04,5,Over 5% higher,3.71,5,Over 5% higher,3.17 to 4.85,4,"2,000-3,999 births",2.71,0.83,3.54
2024,133,NHS Forth Valley,Scotland,Scotland,,,Scotland,-3.848094462,56.0255507,2744,-1,-1,0,Suppressed due to small numbers,2.75,4,Within 5%,2.14 to 3.66,2736,-1,-1,0,Suppressed due to small numbers,0.81,4,Within 5%,0.55 to 1.16,10,3.64,4,Within 5%,3.56,4,Within 5%,2.98 to 4.61,4,"2,000-3,999 births",2.71,0.83,3.54
2024,134,NHS Grampian,Scotland,Scotland,,,Scotland,-2.132073324,57.15525996,4645,16,3.44,5,Over 5% higher,3.41,5,Over 5% higher,2.61 to 4.77,4629,5,1.08,3,5 to 15% lower,1.24,4,Within 5%,0.91 to 1.77,21,4.52,4,Within 5%,4.62,4,Within 5%,3.86 to 6.16,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,135,NHS Greater Glasgow and Clyde,Scotland,Scotland,,,Scotland,-4.232245951,55.86524198,13407,29,2.16,2,Over 15% lower,2.89,3,5 to 15% lower,2.13 to 3.79,13378,7,0.52,2,Over 15% lower,1.08,3,5 to 15% lower,0.69 to 1.66,36,2.69,2,Over 15% lower,3.97,3,5 to 15% lower,3.22 to 5.09,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,136,NHS Highland,Scotland,Scotland,,,Scotland,-4.19247156,57.47382323,1841,-1,-1,0,Suppressed due to small numbers,2.53,4,Within 5%,1.72 to 4.02,1834,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.37 to 1.10,8,4.35,5,Over 5% higher,3.22,4,Within 5%,2.39 to 4.96,5,"Under 2,000 births",2.44,0.7,3.13
2024,137,NHS Lanarkshire,Scotland,Scotland,,,Scotland,-3.941748679,55.77369601,4033,13,3.22,4,Within 5%,3.3,4,Within 5%,2.45 to 4.37,4020,9,2.24,5,Over 5% higher,1.6,5,Over 5% higher,1.15 to 2.33,22,5.45,5,Over 5% higher,4.9,4,Within 5%,4.10 to 6.35,2,Level 3 NICU,3.22,1.46,4.68
